country,finalworth2018_sum,finalworth2022_sum
Indonesia,47000,77300
Italy,39000,57900
Uruguay,3000,1900
Oman,3000,2500
Sweden,43000,65700
United Kingdom,214000,280900
Cambodia,3000,2600
Ireland,8000,8600
Germany,257000,270800
Singapore,49000,66800
Canada,55000,85200
Finland,12000,11400
South Korea,8000,16600
Colombia,12000,9900
Ukraine,10000,10800
Cayman Islands,5000,7200
Argentina,4000,5400
Liechtenstein,3000,2300
Egypt,14000,16200
Bahamas,6000,7600
India,270000,399300
Chile,8000,6800
France,57000,81600
Slovakia,1000,1700
Vietnam,4000,6200
Israel,29000,39400
South Africa,4000,5600
Peru,5000,7800
Kazakhstan,11000,15400
Malaysia,32000,36900
Hong Kong,250000,262300
Japan,82000,94200
Denmark,22000,38200
Philippines,16000,16600
United States,2317000,3663100
Turkey,29000,31300
Nigeria,19000,21300
Switzerland,153000,245200
New Zealand,11000,10500
Hungary,1000,1300
Eswatini (Swaziland),4000,5300
Russia,276000,221500
China,534000,892050
Norway,12000,16400
Qatar,2000,3300
Netherlands,12000,15300
Romania,1000,1600
Brazil,67000,59500
Austria,48000,59400
Australia,89000,162700
British Virgin Islands,5000,4700
Bahrain,1000,1500
Spain,108000,98700
United Arab Emirates,21000,34900
Georgia,4000,4800
Belgium,24000,37300
Guernsey,2000,2500
Monaco,33000,41900
Mexico,6000,10000
Nepal,1000,1500
Tanzania,1000,1500
Poland,7000,16400
Taiwan,38000,64100
Lebanon,4000,6400
Turks and Caicos Islands,1000,2200
Thailand,71000,85000
Czechia,7000,13200
